headgroup	name	exactmass	formula	chain_type
NAE	NAE 20:4;O	363.277344	C22H37NO3	even
NAT	NAT 20:4;O	427.239246	C22H37NO5S	even
NAE	NAE 20:3;O2	381.287909	C22H39NO4	even
NAE	NAE 20:4	347.282429	C22H37NO2	even
NAE	NAE 18:2	323.282429	C20H37NO2	even
NAE	NAE 18:3	321.266779	C20H35NO2	even
NAE	NAE 20:2	351.313729	C22H41NO2	even
NAE	NAE 20:3	349.298079	C22H39NO2	even
NAE	NAE 20:5	345.266779	C22H35NO2	even
NAE	NAE 20:1	353.329379	C22H43NO2	even
NAE	NAE 22:6	371.282429	C24H37NO2	even
NAE	NAE 22:0	383.376329	C24H49NO2	even
NAE	NAE 20:0	355.345029	C22H45NO2	even
NAE	NAE 22:1	381.360679	C24H47NO2	even
NAE	NAE 12:0	243.219829	C14H29NO2	even
NAE	NAE 24:0	411.407629	C26H53NO2	even
NAE	NAE 17:0	313.298079	C19H39NO2	odd
NAE	NAE 14:0	271.251129	C16H33NO2	even
NAE	NAE 24:4	403.345029	C26H45NO2	even
NAE	NAE 23:4	389.329379	C25H43NO2	odd
NAE	NAE 22:4	375.313729	C24H41NO2	even
NAT	NAT 20:4	411.244331	C22H37NO4S	even
NAT	NAT 22:0	447.338231	C24H49NO4S	even
NAE	NAE 24:1	409.391979	C26H51NO2	even
NAT	NAT 18:2	387.244331	C20H37NO4S	even
NAE	NAE 18:1	325.298079	C20H39NO2	even
NAT	NAT 16:0	363.244331	C18H37NO4S	even
NAT	NAT 18:0	391.275631	C20H41NO4S	even
NAE	NAE 16:1	297.266779	C18H35NO2	even
NAE	NAE 16:0	299.282429	C18H37NO2	even
NAE	NAE 15:0	285.266779	C17H35NO2	odd
NAE	NAE 18:0	327.313729	C20H41NO2	even
NAE	NAE 23:0	397.391979	C25H51NO2	odd
NAE	NAE 22:5;O2	405.287909	C24H39NO4	even
NAE	NAE 21:5;O2	391.272259	C23H37NO4	odd
NAE	NAE 20:5;O2	377.256609	C22H35NO4	even
NAE	NAE 22:5	373.298079	C24H39NO2	even
NAE	NAE 14:4	263.188529	C16H25NO2	even
NAE	NAE 14:0;O	287.246044	C16H33NO3	even
NAE	NAE 16:2	295.251129	C18H33NO2	even
NAE	NAE 31:1;O2	539.491359	C33H65NO4	odd
NAE	NAE 32:3;O3	565.470624	C34H63NO5	even
NAE	NAE 33:3;O3	579.486274	C35H65NO5	odd
NAE	NAE 21:4	361.298079	C23H39NO2	odd
NAE	NAE 25:4	417.360679	C27H47NO2	odd
NAE	NAE 16:3;O2	325.225309	C18H31NO4	even
NAE	NAE 14:2;O2	299.209659	C16H29NO4	even
NAE	NAE 22:2;O2	411.334859	C24H45NO4	even
NAE	NAE 20:4;O2	379.272259	C22H37NO4	even
NAE	NAE 18:4;O2	351.240959	C20H33NO4	even
NAE	NAE 12:3;O2	269.162709	C14H23NO4	even
NAE	NAE 14:3;O2	297.194009	C16H27NO4	even
NAE	NAE 18:3;O2	353.256609	C20H35NO4	even
NAE	NAE 21:4;O3	409.282824	C23H39NO5	odd
NAE	NAE 18:3;O	337.261694	C20H35NO3	even
NAE	NAE 14:2;O	283.214744	C16H29NO3	even
NAE	NAE 22:4;O	391.308644	C24H41NO3	even
NAE	NAE 32:2;O3	567.486274	C34H65NO5	even
NAE	NAE 21:5;O	375.277344	C23H37NO3	odd
NAE	NAE 21:4;O	377.292994	C23H39NO3	odd
NAE	NAE 22:5;O	389.292994	C24H39NO3	even
NAE	NAE 23:6;O3	433.282824	C25H39NO5	odd
NAE	NAE 20:5;O	361.261694	C22H35NO3	even
NAE	NAE 24:5;O	417.324294	C26H43NO3	even
NAE	NAE 18:4	319.251129	C20H33NO2	even
NAE	NAE 21:5;O3	407.267174	C23H37NO5	odd
NAE	NAE 21:3;O	379.308644	C23H41NO3	odd
NAE	NAE 20:2;O	367.308644	C22H41NO3	even
NAE	NAE 21:3;O3	411.298474	C23H41NO5	odd
NAE	NAE 18:2;O	339.277344	C20H37NO3	even
NAE	NAE 22:2;O	395.339944	C24H45NO3	even
NAE	NAE 25:6;O	429.324294	C27H43NO3	odd
NAT	NAT 18:1	389.259981	C20H39NO4S	even
NAE	NAE 20:2;O2	383.303559	C22H41NO4	even
NAE	NAE 25:6;O2	445.319209	C27H43NO4	odd
NAE	NAE 17:1;O	327.277344	C19H37NO3	odd
NAE	NAE 19:2;O3	385.282824	C21H39NO5	odd
NAE	NAE 16:1;O	313.261694	C18H35NO3	even
NAE	NAE 23:5;O	403.308644	C25H41NO3	odd
NAE	NAE 19:2;O	353.292994	C21H39NO3	odd
NAE	NAE 17:1;O2	343.272259	C19H37NO4	odd
NAE	NAE 18:1;O2	357.287909	C20H39NO4	even
NAE	NAE 23:5;O2	419.303559	C25H41NO4	odd
NAE	NAE 19:1;O	355.308644	C21H41NO3	odd
NAE	NAE 20:1;O	369.324294	C22H43NO3	even
NAE	NAE 21:2;O3	413.314124	C23H43NO5	odd
NAE	NAE 18:1;O	341.292994	C20H39NO3	even
NAE	NAE 25:5;O	431.339944	C27H45NO3	odd
NAE	NAE 21:2;O	381.324294	C23H43NO3	odd
NAE	NAE 19:1;O2	371.303559	C21H41NO4	odd
NAE	NAE 25:5;O2	447.334859	C27H45NO4	odd
NAE	NAE 21:1;O	383.339944	C23H45NO3	odd
NAE	NAE 17:0;O	329.292994	C19H39NO3	odd
NAE	NAE 10:0	215.188529	C12H25NO2	even
NAE	NAE 10:0;O	231.183444	C12H25NO3	even
NAE	NAE 10:0;O2	247.178359	C12H25NO4	even
NAE	NAE 10:0;O3	263.173274	C12H25NO5	even
NAE	NAE 10:0;O4	279.168189	C12H25NO6	even
NAE	NAE 10:1	213.172879	C12H23NO2	even
NAE	NAE 10:1;O	229.167794	C12H23NO3	even
NAE	NAE 10:1;O2	245.162709	C12H23NO4	even
NAE	NAE 10:1;O3	261.157624	C12H23NO5	even
NAE	NAE 10:1;O4	277.152539	C12H23NO6	even
NAE	NAE 10:2	211.157229	C12H21NO2	even
NAE	NAE 10:2;O	227.152144	C12H21NO3	even
NAE	NAE 10:2;O2	243.147059	C12H21NO4	even
NAE	NAE 10:2;O3	259.141974	C12H21NO5	even
NAE	NAE 10:2;O4	275.136889	C12H21NO6	even
NAE	NAE 11:0	229.204179	C13H27NO2	odd
NAE	NAE 11:0;O	245.199094	C13H27NO3	odd
NAE	NAE 11:0;O2	261.194009	C13H27NO4	odd
NAE	NAE 11:0;O3	277.188924	C13H27NO5	odd
NAE	NAE 11:0;O4	293.183839	C13H27NO6	odd
NAE	NAE 11:1	227.188529	C13H25NO2	odd
NAE	NAE 11:1;O	243.183444	C13H25NO3	odd
NAE	NAE 11:1;O2	259.178359	C13H25NO4	odd
NAE	NAE 11:1;O3	275.173274	C13H25NO5	odd
NAE	NAE 11:1;O4	291.168189	C13H25NO6	odd
NAE	NAE 11:2	225.172879	C13H23NO2	odd
NAE	NAE 11:2;O	241.167794	C13H23NO3	odd
NAE	NAE 11:2;O2	257.162709	C13H23NO4	odd
NAE	NAE 11:2;O3	273.157624	C13H23NO5	odd
NAE	NAE 11:2;O4	289.152539	C13H23NO6	odd
NAE	NAE 11:3	223.157229	C13H21NO2	odd
NAE	NAE 11:3;O	239.152144	C13H21NO3	odd
NAE	NAE 11:3;O2	255.147059	C13H21NO4	odd
NAE	NAE 11:3;O3	271.141974	C13H21NO5	odd
NAE	NAE 11:3;O4	287.136889	C13H21NO6	odd
NAE	NAE 12:0;O	259.214744	C14H29NO3	even
NAE	NAE 12:0;O2	275.209659	C14H29NO4	even
NAE	NAE 12:0;O3	291.204574	C14H29NO5	even
NAE	NAE 12:0;O4	307.199489	C14H29NO6	even
NAE	NAE 12:1	241.204179	C14H27NO2	even
NAE	NAE 12:1;O	257.199094	C14H27NO3	even
NAE	NAE 12:1;O2	273.194009	C14H27NO4	even
NAE	NAE 12:1;O3	289.188924	C14H27NO5	even
NAE	NAE 12:1;O4	305.183839	C14H27NO6	even
NAE	NAE 12:2	239.188529	C14H25NO2	even
NAE	NAE 12:2;O	255.183444	C14H25NO3	even
NAE	NAE 12:2;O2	271.178359	C14H25NO4	even
NAE	NAE 12:2;O3	287.173274	C14H25NO5	even
NAE	NAE 12:2;O4	303.168189	C14H25NO6	even
NAE	NAE 12:3	237.172879	C14H23NO2	even
NAE	NAE 12:3;O	253.167794	C14H23NO3	even
NAE	NAE 12:3;O3	285.157624	C14H23NO5	even
NAE	NAE 12:3;O4	301.152539	C14H23NO6	even
NAE	NAE 13:0	257.235479	C15H31NO2	odd
NAE	NAE 13:0;O	273.230394	C15H31NO3	odd
NAE	NAE 13:0;O2	289.225309	C15H31NO4	odd
NAE	NAE 13:0;O3	305.220224	C15H31NO5	odd
NAE	NAE 13:0;O4	321.215139	C15H31NO6	odd
NAE	NAE 13:1	255.219829	C15H29NO2	odd
NAE	NAE 13:1;O	271.214744	C15H29NO3	odd
NAE	NAE 13:1;O2	287.209659	C15H29NO4	odd
NAE	NAE 13:1;O3	303.204574	C15H29NO5	odd
NAE	NAE 13:1;O4	319.199489	C15H29NO6	odd
NAE	NAE 13:2	253.204179	C15H27NO2	odd
NAE	NAE 13:2;O	269.199094	C15H27NO3	odd
NAE	NAE 13:2;O2	285.194009	C15H27NO4	odd
NAE	NAE 13:2;O3	301.188924	C15H27NO5	odd
NAE	NAE 13:2;O4	317.183839	C15H27NO6	odd
NAE	NAE 13:3	251.188529	C15H25NO2	odd
NAE	NAE 13:3;O	267.183444	C15H25NO3	odd
NAE	NAE 13:3;O2	283.178359	C15H25NO4	odd
NAE	NAE 13:3;O3	299.173274	C15H25NO5	odd
NAE	NAE 13:3;O4	315.168189	C15H25NO6	odd
NAE	NAE 14:0;O2	303.240959	C16H33NO4	even
NAE	NAE 14:0;O3	319.235874	C16H33NO5	even
NAE	NAE 14:0;O4	335.230789	C16H33NO6	even
NAE	NAE 14:1	269.235479	C16H31NO2	even
NAE	NAE 14:1;O	285.230394	C16H31NO3	even
NAE	NAE 14:1;O2	301.225309	C16H31NO4	even
NAE	NAE 14:1;O3	317.220224	C16H31NO5	even
NAE	NAE 14:1;O4	333.215139	C16H31NO6	even
NAE	NAE 14:2	267.219829	C16H29NO2	even
NAE	NAE 14:2;O3	315.204574	C16H29NO5	even
NAE	NAE 14:2;O4	331.199489	C16H29NO6	even
NAE	NAE 14:3	265.204179	C16H27NO2	even
NAE	NAE 14:3;O	281.199094	C16H27NO3	even
NAE	NAE 14:3;O3	313.188924	C16H27NO5	even
NAE	NAE 14:3;O4	329.183839	C16H27NO6	even
NAE	NAE 14:4;O	279.183444	C16H25NO3	even
NAE	NAE 14:4;O2	295.178359	C16H25NO4	even
NAE	NAE 14:4;O3	311.173274	C16H25NO5	even
NAE	NAE 14:4;O4	327.168189	C16H25NO6	even
NAE	NAE 15:0;O	301.261694	C17H35NO3	odd
NAE	NAE 15:0;O2	317.256609	C17H35NO4	odd
NAE	NAE 15:0;O3	333.251524	C17H35NO5	odd
NAE	NAE 15:0;O4	349.246439	C17H35NO6	odd
NAE	NAE 15:1	283.251129	C17H33NO2	odd
NAE	NAE 15:1;O	299.246044	C17H33NO3	odd
NAE	NAE 15:1;O2	315.240959	C17H33NO4	odd
NAE	NAE 15:1;O3	331.235874	C17H33NO5	odd
NAE	NAE 15:1;O4	347.230789	C17H33NO6	odd
NAE	NAE 15:2	281.235479	C17H31NO2	odd
NAE	NAE 15:2;O	297.230394	C17H31NO3	odd
NAE	NAE 15:2;O2	313.225309	C17H31NO4	odd
NAE	NAE 15:2;O3	329.220224	C17H31NO5	odd
NAE	NAE 15:2;O4	345.215139	C17H31NO6	odd
NAE	NAE 15:3	279.219829	C17H29NO2	odd
NAE	NAE 15:3;O	295.214744	C17H29NO3	odd
NAE	NAE 15:3;O2	311.209659	C17H29NO4	odd
NAE	NAE 15:3;O3	327.204574	C17H29NO5	odd
NAE	NAE 15:3;O4	343.199489	C17H29NO6	odd
NAE	NAE 15:4	277.204179	C17H27NO2	odd
NAE	NAE 15:4;O	293.199094	C17H27NO3	odd
NAE	NAE 15:4;O2	309.194009	C17H27NO4	odd
NAE	NAE 15:4;O3	325.188924	C17H27NO5	odd
NAE	NAE 15:4;O4	341.183839	C17H27NO6	odd
NAE	NAE 16:0;O	315.277344	C18H37NO3	even
NAE	NAE 16:0;O2	331.272259	C18H37NO4	even
NAE	NAE 16:0;O3	347.267174	C18H37NO5	even
NAE	NAE 16:0;O4	363.262089	C18H37NO6	even
NAE	NAE 16:1;O2	329.256609	C18H35NO4	even
NAE	NAE 16:1;O3	345.251524	C18H35NO5	even
NAE	NAE 16:1;O4	361.246439	C18H35NO6	even
NAE	NAE 16:2;O	311.246044	C18H33NO3	even
NAE	NAE 16:2;O2	327.240959	C18H33NO4	even
NAE	NAE 16:2;O3	343.235874	C18H33NO5	even
NAE	NAE 16:2;O4	359.230789	C18H33NO6	even
NAE	NAE 16:3	293.235479	C18H31NO2	even
NAE	NAE 16:3;O	309.230394	C18H31NO3	even
NAE	NAE 16:3;O3	341.220224	C18H31NO5	even
NAE	NAE 16:3;O4	357.215139	C18H31NO6	even
NAE	NAE 16:4	291.219829	C18H29NO2	even
NAE	NAE 16:4;O	307.214744	C18H29NO3	even
NAE	NAE 16:4;O2	323.209659	C18H29NO4	even
NAE	NAE 16:4;O3	339.204574	C18H29NO5	even
NAE	NAE 16:4;O4	355.199489	C18H29NO6	even
NAE	NAE 17:0;O2	345.287909	C19H39NO4	odd
NAE	NAE 17:0;O3	361.282824	C19H39NO5	odd
NAE	NAE 17:0;O4	377.277739	C19H39NO6	odd
NAE	NAE 17:1	311.282429	C19H37NO2	odd
NAE	NAE 17:1;O3	359.267174	C19H37NO5	odd
NAE	NAE 17:1;O4	375.262089	C19H37NO6	odd
NAE	NAE 17:2	309.266779	C19H35NO2	odd
NAE	NAE 17:2;O	325.261694	C19H35NO3	odd
NAE	NAE 17:2;O2	341.256609	C19H35NO4	odd
NAE	NAE 17:2;O3	357.251524	C19H35NO5	odd
NAE	NAE 17:2;O4	373.246439	C19H35NO6	odd
NAE	NAE 17:3	307.251129	C19H33NO2	odd
NAE	NAE 17:3;O	323.246044	C19H33NO3	odd
NAE	NAE 17:3;O2	339.240959	C19H33NO4	odd
NAE	NAE 17:3;O3	355.235874	C19H33NO5	odd
NAE	NAE 17:3;O4	371.230789	C19H33NO6	odd
NAE	NAE 17:4	305.235479	C19H31NO2	odd
NAE	NAE 17:4;O	321.230394	C19H31NO3	odd
NAE	NAE 17:4;O2	337.225309	C19H31NO4	odd
NAE	NAE 17:4;O3	353.220224	C19H31NO5	odd
NAE	NAE 17:4;O4	369.215139	C19H31NO6	odd
NAE	NAE 18:0;O	343.308644	C20H41NO3	even
NAE	NAE 18:0;O2	359.303559	C20H41NO4	even
NAE	NAE 18:0;O3	375.298474	C20H41NO5	even
NAE	NAE 18:0;O4	391.293389	C20H41NO6	even
NAE	NAE 18:1;O3	373.282824	C20H39NO5	even
NAE	NAE 18:1;O4	389.277739	C20H39NO6	even
NAE	NAE 18:2;O2	355.272259	C20H37NO4	even
NAE	NAE 18:2;O3	371.267174	C20H37NO5	even
NAE	NAE 18:2;O4	387.262089	C20H37NO6	even
NAE	NAE 18:3;O3	369.251524	C20H35NO5	even
NAE	NAE 18:3;O4	385.246439	C20H35NO6	even
NAE	NAE 18:4;O	335.246044	C20H33NO3	even
NAE	NAE 18:4;O3	367.235874	C20H33NO5	even
NAE	NAE 18:4;O4	383.230789	C20H33NO6	even
NAE	NAE 18:5	317.235479	C20H31NO2	even
NAE	NAE 18:5;O	333.230394	C20H31NO3	even
NAE	NAE 18:5;O2	349.225309	C20H31NO4	even
NAE	NAE 18:5;O3	365.220224	C20H31NO5	even
NAE	NAE 18:5;O4	381.215139	C20H31NO6	even
NAE	NAE 19:0	341.329379	C21H43NO2	odd
NAE	NAE 19:0;O	357.324294	C21H43NO3	odd
NAE	NAE 19:0;O2	373.319209	C21H43NO4	odd
NAE	NAE 19:0;O3	389.314124	C21H43NO5	odd
NAE	NAE 19:0;O4	405.309039	C21H43NO6	odd
NAE	NAE 19:1	339.313729	C21H41NO2	odd
NAE	NAE 19:1;O3	387.298474	C21H41NO5	odd
NAE	NAE 19:1;O4	403.293389	C21H41NO6	odd
NAE	NAE 19:2	337.298079	C21H39NO2	odd
NAE	NAE 19:2;O2	369.287909	C21H39NO4	odd
NAE	NAE 19:2;O4	401.277739	C21H39NO6	odd
NAE	NAE 19:3	335.282429	C21H37NO2	odd
NAE	NAE 19:3;O	351.277344	C21H37NO3	odd
NAE	NAE 19:3;O2	367.272259	C21H37NO4	odd
NAE	NAE 19:3;O3	383.267174	C21H37NO5	odd
NAE	NAE 19:3;O4	399.262089	C21H37NO6	odd
NAE	NAE 19:4	333.266779	C21H35NO2	odd
NAE	NAE 19:4;O	349.261694	C21H35NO3	odd
NAE	NAE 19:4;O2	365.256609	C21H35NO4	odd
NAE	NAE 19:4;O3	381.251524	C21H35NO5	odd
NAE	NAE 19:4;O4	397.246439	C21H35NO6	odd
NAE	NAE 19:5	331.251129	C21H33NO2	odd
NAE	NAE 19:5;O	347.246044	C21H33NO3	odd
NAE	NAE 19:5;O2	363.240959	C21H33NO4	odd
NAE	NAE 19:5;O3	379.235874	C21H33NO5	odd
NAE	NAE 19:5;O4	395.230789	C21H33NO6	odd
NAE	NAE 20:0;O	371.339944	C22H45NO3	even
NAE	NAE 20:0;O2	387.334859	C22H45NO4	even
NAE	NAE 20:0;O3	403.329774	C22H45NO5	even
NAE	NAE 20:0;O4	419.324689	C22H45NO6	even
NAE	NAE 20:1;O2	385.319209	C22H43NO4	even
NAE	NAE 20:1;O3	401.314124	C22H43NO5	even
NAE	NAE 20:1;O4	417.309039	C22H43NO6	even
NAE	NAE 20:2;O3	399.298474	C22H41NO5	even
NAE	NAE 20:2;O4	415.293389	C22H41NO6	even
NAE	NAE 20:3;O	365.292994	C22H39NO3	even
NAE	NAE 20:3;O3	397.282824	C22H39NO5	even
NAE	NAE 20:3;O4	413.277739	C22H39NO6	even
NAE	NAE 20:4;O3	395.267174	C22H37NO5	even
NAE	NAE 20:4;O4	411.262089	C22H37NO6	even
NAE	NAE 20:5;O3	393.251524	C22H35NO5	even
NAE	NAE 20:5;O4	409.246439	C22H35NO6	even
NAE	NAE 21:0	369.360679	C23H47NO2	odd
NAE	NAE 21:0;O	385.355594	C23H47NO3	odd
NAE	NAE 21:0;O2	401.350509	C23H47NO4	odd
NAE	NAE 21:0;O3	417.345424	C23H47NO5	odd
NAE	NAE 21:0;O4	433.340339	C23H47NO6	odd
NAE	NAE 21:1	367.345029	C23H45NO2	odd
NAE	NAE 21:1;O2	399.334859	C23H45NO4	odd
NAE	NAE 21:1;O3	415.329774	C23H45NO5	odd
NAE	NAE 21:1;O4	431.324689	C23H45NO6	odd
NAE	NAE 21:2	365.329379	C23H43NO2	odd
NAE	NAE 21:2;O2	397.319209	C23H43NO4	odd
NAE	NAE 21:2;O4	429.309039	C23H43NO6	odd
NAE	NAE 21:3	363.313729	C23H41NO2	odd
NAE	NAE 21:3;O2	395.303559	C23H41NO4	odd
NAE	NAE 21:3;O4	427.293389	C23H41NO6	odd
NAE	NAE 21:4;O2	393.287909	C23H39NO4	odd
NAE	NAE 21:4;O4	425.277739	C23H39NO6	odd
NAE	NAE 21:5	359.282429	C23H37NO2	odd
NAE	NAE 21:5;O4	423.262089	C23H37NO6	odd
NAE	NAE 21:6	357.266779	C23H35NO2	odd
NAE	NAE 21:6;O	373.261694	C23H35NO3	odd
NAE	NAE 21:6;O2	389.256609	C23H35NO4	odd
NAE	NAE 21:6;O3	405.251524	C23H35NO5	odd
NAE	NAE 21:6;O4	421.246439	C23H35NO6	odd
NAE	NAE 22:0;O	399.371244	C24H49NO3	even
NAE	NAE 22:0;O2	415.366159	C24H49NO4	even
NAE	NAE 22:0;O3	431.361074	C24H49NO5	even
NAE	NAE 22:0;O4	447.355989	C24H49NO6	even
NAE	NAE 22:1;O	397.355594	C24H47NO3	even
NAE	NAE 22:1;O2	413.350509	C24H47NO4	even
NAE	NAE 22:1;O3	429.345424	C24H47NO5	even
NAE	NAE 22:1;O4	445.340339	C24H47NO6	even
NAE	NAE 22:2	379.345029	C24H45NO2	even
NAE	NAE 22:2;O3	427.329774	C24H45NO5	even
NAE	NAE 22:2;O4	443.324689	C24H45NO6	even
NAE	NAE 22:3	377.329379	C24H43NO2	even
NAE	NAE 22:3;O	393.324294	C24H43NO3	even
NAE	NAE 22:3;O2	409.319209	C24H43NO4	even
NAE	NAE 22:3;O3	425.314124	C24H43NO5	even
NAE	NAE 22:3;O4	441.309039	C24H43NO6	even
NAE	NAE 22:4;O2	407.303559	C24H41NO4	even
NAE	NAE 22:4;O3	423.298474	C24H41NO5	even
NAE	NAE 22:4;O4	439.293389	C24H41NO6	even
NAE	NAE 22:5;O3	421.282824	C24H39NO5	even
NAE	NAE 22:5;O4	437.277739	C24H39NO6	even
NAE	NAE 22:6;O	387.277344	C24H37NO3	even
NAE	NAE 22:6;O2	403.272259	C24H37NO4	even
NAE	NAE 22:6;O3	419.267174	C24H37NO5	even
NAE	NAE 22:6;O4	435.262089	C24H37NO6	even
NAE	NAE 23:0;O	413.386894	C25H51NO3	odd
NAE	NAE 23:0;O2	429.381809	C25H51NO4	odd
NAE	NAE 23:0;O3	445.376724	C25H51NO5	odd
NAE	NAE 23:0;O4	461.371639	C25H51NO6	odd
NAE	NAE 23:1	395.376329	C25H49NO2	odd
NAE	NAE 23:1;O	411.371244	C25H49NO3	odd
NAE	NAE 23:1;O2	427.366159	C25H49NO4	odd
NAE	NAE 23:1;O3	443.361074	C25H49NO5	odd
NAE	NAE 23:1;O4	459.355989	C25H49NO6	odd
NAE	NAE 23:2	393.360679	C25H47NO2	odd
NAE	NAE 23:2;O	409.355594	C25H47NO3	odd
NAE	NAE 23:2;O2	425.350509	C25H47NO4	odd
NAE	NAE 23:2;O3	441.345424	C25H47NO5	odd
NAE	NAE 23:2;O4	457.340339	C25H47NO6	odd
NAE	NAE 23:3	391.345029	C25H45NO2	odd
NAE	NAE 23:3;O	407.339944	C25H45NO3	odd
NAE	NAE 23:3;O2	423.334859	C25H45NO4	odd
NAE	NAE 23:3;O3	439.329774	C25H45NO5	odd
NAE	NAE 23:3;O4	455.324689	C25H45NO6	odd
NAE	NAE 23:4;O	405.324294	C25H43NO3	odd
NAE	NAE 23:4;O2	421.319209	C25H43NO4	odd
NAE	NAE 23:4;O3	437.314124	C25H43NO5	odd
NAE	NAE 23:4;O4	453.309039	C25H43NO6	odd
NAE	NAE 23:5	387.313729	C25H41NO2	odd
NAE	NAE 23:5;O3	435.298474	C25H41NO5	odd
NAE	NAE 23:5;O4	451.293389	C25H41NO6	odd
NAE	NAE 23:6	385.298079	C25H39NO2	odd
NAE	NAE 23:6;O	401.292994	C25H39NO3	odd
NAE	NAE 23:6;O2	417.287909	C25H39NO4	odd
NAE	NAE 23:6;O4	449.277739	C25H39NO6	odd
NAE	NAE 24:0;O	427.402544	C26H53NO3	even
NAE	NAE 24:0;O2	443.397459	C26H53NO4	even
NAE	NAE 24:0;O3	459.392374	C26H53NO5	even
NAE	NAE 24:0;O4	475.387289	C26H53NO6	even
NAE	NAE 24:1;O	425.386894	C26H51NO3	even
NAE	NAE 24:1;O2	441.381809	C26H51NO4	even
NAE	NAE 24:1;O3	457.376724	C26H51NO5	even
NAE	NAE 24:1;O4	473.371639	C26H51NO6	even
NAE	NAE 24:2	407.376329	C26H49NO2	even
NAE	NAE 24:2;O	423.371244	C26H49NO3	even
NAE	NAE 24:2;O2	439.366159	C26H49NO4	even
NAE	NAE 24:2;O3	455.361074	C26H49NO5	even
NAE	NAE 24:2;O4	471.355989	C26H49NO6	even
NAE	NAE 24:3	405.360679	C26H47NO2	even
NAE	NAE 24:3;O	421.355594	C26H47NO3	even
NAE	NAE 24:3;O2	437.350509	C26H47NO4	even
NAE	NAE 24:3;O3	453.345424	C26H47NO5	even
NAE	NAE 24:3;O4	469.340339	C26H47NO6	even
NAE	NAE 24:4;O	419.339944	C26H45NO3	even
NAE	NAE 24:4;O2	435.334859	C26H45NO4	even
NAE	NAE 24:4;O3	451.329774	C26H45NO5	even
NAE	NAE 24:4;O4	467.324689	C26H45NO6	even
NAE	NAE 24:5	401.329379	C26H43NO2	even
NAE	NAE 24:5;O2	433.319209	C26H43NO4	even
NAE	NAE 24:5;O3	449.314124	C26H43NO5	even
NAE	NAE 24:5;O4	465.309039	C26H43NO6	even
NAE	NAE 24:6	399.313729	C26H41NO2	even
NAE	NAE 24:6;O	415.308644	C26H41NO3	even
NAE	NAE 24:6;O2	431.303559	C26H41NO4	even
NAE	NAE 24:6;O3	447.298474	C26H41NO5	even
NAE	NAE 24:6;O4	463.293389	C26H41NO6	even
NAE	NAE 25:0	425.423279	C27H55NO2	odd
NAE	NAE 25:0;O	441.418194	C27H55NO3	odd
NAE	NAE 25:0;O2	457.413109	C27H55NO4	odd
NAE	NAE 25:0;O3	473.408024	C27H55NO5	odd
NAE	NAE 25:0;O4	489.402939	C27H55NO6	odd
NAE	NAE 25:1	423.407629	C27H53NO2	odd
NAE	NAE 25:1;O	439.402544	C27H53NO3	odd
NAE	NAE 25:1;O2	455.397459	C27H53NO4	odd
NAE	NAE 25:1;O3	471.392374	C27H53NO5	odd
NAE	NAE 25:1;O4	487.387289	C27H53NO6	odd
NAE	NAE 25:2	421.391979	C27H51NO2	odd
NAE	NAE 25:2;O	437.386894	C27H51NO3	odd
NAE	NAE 25:2;O2	453.381809	C27H51NO4	odd
NAE	NAE 25:2;O3	469.376724	C27H51NO5	odd
NAE	NAE 25:2;O4	485.371639	C27H51NO6	odd
NAE	NAE 25:3	419.376329	C27H49NO2	odd
NAE	NAE 25:3;O	435.371244	C27H49NO3	odd
NAE	NAE 25:3;O2	451.366159	C27H49NO4	odd
NAE	NAE 25:3;O3	467.361074	C27H49NO5	odd
NAE	NAE 25:3;O4	483.355989	C27H49NO6	odd
NAE	NAE 25:4;O	433.355594	C27H47NO3	odd
NAE	NAE 25:4;O2	449.350509	C27H47NO4	odd
NAE	NAE 25:4;O3	465.345424	C27H47NO5	odd
NAE	NAE 25:4;O4	481.340339	C27H47NO6	odd
NAE	NAE 25:5	415.345029	C27H45NO2	odd
NAE	NAE 25:5;O3	463.329774	C27H45NO5	odd
NAE	NAE 25:5;O4	479.324689	C27H45NO6	odd
NAE	NAE 25:6	413.329379	C27H43NO2	odd
NAE	NAE 25:6;O3	461.314124	C27H43NO5	odd
NAE	NAE 25:6;O4	477.309039	C27H43NO6	odd
NAE	NAE 25:7	411.313729	C27H41NO2	odd
NAE	NAE 25:7;O	427.308644	C27H41NO3	odd
NAE	NAE 25:7;O2	443.303559	C27H41NO4	odd
NAE	NAE 25:7;O3	459.298474	C27H41NO5	odd
NAE	NAE 25:7;O4	475.293389	C27H41NO6	odd
NAE	NAE 26:0	439.438929	C28H57NO2	even
NAE	NAE 26:0;O	455.433844	C28H57NO3	even
NAE	NAE 26:0;O2	471.428759	C28H57NO4	even
NAE	NAE 26:0;O3	487.423674	C28H57NO5	even
NAE	NAE 26:0;O4	503.418589	C28H57NO6	even
NAE	NAE 26:1	437.423279	C28H55NO2	even
NAE	NAE 26:1;O	453.418194	C28H55NO3	even
NAE	NAE 26:1;O2	469.413109	C28H55NO4	even
NAE	NAE 26:1;O3	485.408024	C28H55NO5	even
NAE	NAE 26:1;O4	501.402939	C28H55NO6	even
NAE	NAE 26:2	435.407629	C28H53NO2	even
NAE	NAE 26:2;O	451.402544	C28H53NO3	even
NAE	NAE 26:2;O2	467.397459	C28H53NO4	even
NAE	NAE 26:2;O3	483.392374	C28H53NO5	even
